S_no,Date,State,TotalSamples,Negative,Positive
1,4/17/2020,Andaman and Nicobar Islands,1403,1210,12
2,4/24/2020,Andaman and Nicobar Islands,2679,,27
3,4/27/2020,Andaman and Nicobar Islands,2848,,33
4,5/1/2020,Andaman and Nicobar Islands,3754,,33
5,5/16/2020,Andaman and Nicobar Islands,6677,,33
6,5/19/2020,Andaman and Nicobar Islands,6965,,33
7,5/20/2020,Andaman and Nicobar Islands,7082,,33
8,5/21/2020,Andaman and Nicobar Islands,7167,,33
9,5/22/2020,Andaman and Nicobar Islands,7263,,33
10,5/23/2020,Andaman and Nicobar Islands,7327,,33
11,5/24/2020,Andaman and Nicobar Islands,7327,,33
12,5/25/2020,Andaman and Nicobar Islands,7363,,33
13,5/26/2020,Andaman and Nicobar Islands,7448,,33
14,5/27/2020,Andaman and Nicobar Islands,7499,,33
15,5/28/2020,Andaman and Nicobar Islands,7519,,33
16,5/29/2020,Andaman and Nicobar Islands,7567,,33
17,5/30/2020,Andaman and Nicobar Islands,7567,,33
18,5/31/2020,Andaman and Nicobar Islands,7706,,33
19,6/1/2020,Andaman and Nicobar Islands,7805,,33
20,6/2/2020,Andaman and Nicobar Islands,8086,,33
21,6/3/2020,Andaman and Nicobar Islands,8295,,33
22,6/4/2020,Andaman and Nicobar Islands,8413,,33
23,6/5/2020,Andaman and Nicobar Islands,8694,,33
24,6/6/2020,Andaman and Nicobar Islands,9037,,33
25,6/7/2020,Andaman and Nicobar Islands,9242,,33
26,6/8/2020,Andaman and Nicobar Islands,9341,,33
27,6/9/2020,Andaman and Nicobar Islands,9859,,33
28,6/10/2020,Andaman and Nicobar Islands,10010,,35
29,6/11/2020,Andaman and Nicobar Islands,10226,,38
30,6/12/2020,Andaman and Nicobar Islands,10697,,38
31,6/13/2020,Andaman and Nicobar Islands,10955,,38
32,6/14/2020,Andaman and Nicobar Islands,11356,,38
33,6/15/2020,Andaman and Nicobar Islands,11518,,41
34,6/16/2020,Andaman and Nicobar Islands,11809,,44
35,6/17/2020,Andaman and Nicobar Islands,12239,,44
36,6/18/2020,Andaman and Nicobar Islands,12622,,45
37,6/19/2020,Andaman and Nicobar Islands,12930,,47
38,6/20/2020,Andaman and Nicobar Islands,13320,,47
39,6/21/2020,Andaman and Nicobar Islands,13434,,48
40,6/22/2020,Andaman and Nicobar Islands,13511,,48
41,6/23/2020,Andaman and Nicobar Islands,13723,,50
42,6/24/2020,Andaman and Nicobar Islands,13994,,56
43,6/25/2020,Andaman and Nicobar Islands,14277,,59
44,6/26/2020,Andaman and Nicobar Islands,14583,,72
45,6/27/2020,Andaman and Nicobar Islands,14851,,73
46,6/28/2020,Andaman and Nicobar Islands,15094,,83
47,6/29/2020,Andaman and Nicobar Islands,15410,,90
48,6/30/2020,Andaman and Nicobar Islands,15709,,97
49,7/1/2020,Andaman and Nicobar Islands,15982,,100
50,7/2/2020,Andaman and Nicobar Islands,16278,,109
51,7/3/2020,Andaman and Nicobar Islands,16626,,116
52,7/4/2020,Andaman and Nicobar Islands,16832,,119
53,7/5/2020,Andaman and Nicobar Islands,16909,,125
54,7/6/2020,Andaman and Nicobar Islands,17095,,141
55,7/7/2020,Andaman and Nicobar Islands,17381,,147
56,7/8/2020,Andaman and Nicobar Islands,17643,,149
57,7/9/2020,Andaman and Nicobar Islands,17852,,151
58,7/10/2020,Andaman and Nicobar Islands,18046,,156
59,7/11/2020,Andaman and Nicobar Islands,18315,,163
60,7/12/2020,Andaman and Nicobar Islands,18447,,163
61,7/13/2020,Andaman and Nicobar Islands,18609,,166
62,7/14/2020,Andaman and Nicobar Islands,18884,,171
